volatile acidity,sulphates,alcohol,quality
0.16,0.75,10.3,6
0.18,0.31,10.5,6
0.14,0.62,9.5,6
0.2,0.49,11.4,7
0.2,0.49,11.4,7
0.19,0.37,11.1,8
0.19,0.38,10.5,6
0.34,0.7,12,6
0.15,0.51,9.7,6
0.14,0.51,10.2,6
0.55,0.3,9.5,4
0.24,0.59,10.4,7
0.6,0.57,9.3,4
0.2,0.62,10.5,6
0.34,0.62,10,6
0.3,0.64,10.2,6
0.3,0.64,10.2,6
0.64,0.74,9.1,3
0.17,0.67,10.2,6
0.17,0.88,10.7,5
0.47,0.56,9.7,5
0.15,0.52,9.3,7
0.17,0.74,11,5
0.68,0.71,10.8,4
0.275,0.56,10.7,5
0.49,0.45,10.7,4
0.33,0.4,8.8,5
0.21,0.48,10.9,7
0.15,0.45,10.5,5
0.19,0.45,10,5
0.31,0.43,10.4,5
0.4,0.43,9.2,5
0.37,0.62,12.6,6
0.24,0.54,9,5
0.21,0.39,9.2,6
0.29,0.39,11.3,5
0.29,0.69,10.3,4
0.31,0.43,10.4,5
0.26,0.44,10,5
0.21,0.47,10.7,6
0.51,0.47,9,5
0.21,0.47,10.7,6
0.3,0.54,8.7,4
0.26,0.72,11.6,7
0.21,0.55,9.4,5
0.26,0.68,9.5,5
0.26,0.67,9.5,5
0.26,0.7,10.9,6
0.22,0.5,9.7,5
0.3,0.45,9.1,6
0.19,0.49,11.1,7
0.33,0.4,12.6,7
0.2,0.56,11,6
0.37,0.55,11.3,7
0.22,0.5,9.7,5
0.29,0.4,10.9,7
0.34,0.47,10.9,5
0.55,0.5,9.3,6
0.4,0.54,12.7,7
0.28,0.59,10.1,6
0.26,0.65,10,5
0.26,0.42,9.8,5
0.34,0.53,10.1,6
0.15,0.39,9,7
0.27,0.38,9.4,6
0.27,0.38,9.4,6
0.2,0.42,9.2,6
0.23,0.33,10.1,7
0.31,0.45,8.6,5
0.24,0.49,11.2,8
0.24,0.42,11.2,8
0.2,0.42,9.2,6
0.17,0.39,10.6,7
0.21,0.51,9.3,6
0.21,0.47,8.9,6
0.21,0.43,10.6,6
0.17,0.32,10.6,7
0.24,0.32,8.8,5
0.24,0.38,11,8
0.28,0.37,10.2,6
0.23,0.33,10.1,7
0.29,0.34,10.1,6
0.29,0.79,14,7
0.27,0.38,9.4,6
0.17,0.43,11.8,6
0.16,0.53,11.4,5
0.29,0.42,10.7,5
0.31,0.45,8.6,5
0.32,0.49,11.5,7
0.24,0.49,11.2,8
0.37,0.59,12.6,7
0.29,0.51,12.6,7
0.22,0.46,9.3,4
0.37,0.59,12.6,7
0.18,0.61,12.1,6
0.22,0.44,9.9,6
0.18,0.44,10.7,5
0.52,0.32,10,4
0.15,0.39,10.4,8
0.415,0.52,10.5,5
0.45,0.64,9.7,5
0.415,0.52,10.5,5
0.5,0.33,9,5
0.105,0.45,9.2,6
0.4,0.48,10.1,6
0.25,0.4,11.4,7
0.36,0.46,10.8,5
0.23,0.49,10.9,5
0.55,0.46,9.2,6
0.115,0.25,12.9,7
0.125,0.32,12,7
0.1,0.46,9.5,5
0.25,0.32,11.8,7
0.2,0.43,9.1,6
0.23,0.52,9.7,6
0.39,0.54,9.1,5
0.22,0.43,10,5
0.41,0.42,10.4,5
0.25,0.47,9.5,6
0.26,0.4,12.3,8
0.31,0.4,11.7,8
0.28,0.58,9.5,5
0.31,0.34,11.5,5
0.16,0.46,10.6,6
0.34,0.61,10.2,5
0.28,0.58,9.5,5
0.24,0.45,10.5,5
0.25,0.44,10.5,5
0.32,0.41,8.9,5
0.27,0.41,10.6,5
0.34,0.49,9.5,5
0.17,0.49,10.8,6
0.25,0.35,9.5,5
0.32,0.4,8.9,5
0.32,0.41,8.9,5
0.6,0.38,9.4,4
0.395,0.35,10.6,6
0.16,0.44,9,4
0.33,0.48,10.5,4
0.3,0.38,9,6
0.3,0.38,9,6
0.26,0.38,9.4,6
0.3,0.38,9,6
0.14,0.8,9.6,6
0.3,0.38,9,6
0.25,0.6,10.2,7
0.26,0.38,9.4,6
0.23,0.38,10.4,6
0.24,0.41,10.4,5
0.45,0.32,9.5,5
0.23,0.62,10.6,6
0.2,0.37,11,5
0.14,0.8,9.6,6
0.25,0.5,9.9,6
0.61,0.34,9.6,5
0.21,0.7,12.8,6
0.22,0.55,11.4,5
0.26,0.5,10,6
0.25,0.44,9.1,5
0.32,0.5,9.4,7
0.25,0.54,10.2,6
0.44,0.39,9.2,5
0.2,0.36,9.4,5
0.61,0.34,9.6,5
0.42,0.36,10.1,6
0.22,0.55,11.4,5
0.26,0.47,10.6,6
0.46,0.44,12.8,7
0.41,0.51,8.9,5
0.32,0.43,9.3,5
0.21,0.4,11.1,8
0.21,0.33,9.9,6
0.26,0.45,9.6,5
0.21,0.7,12.8,6
0.25,0.72,10.7,7
0.26,0.42,9.2,6
0.22,0.41,9.1,7
0.37,0.6,9.6,6
0.22,0.46,9.2,6
0.25,0.72,10.7,7
0.22,0.41,9.1,7
0.26,0.42,9.2,6
0.25,0.48,10.7,7
0.18,0.45,10.8,6
0.17,0.46,10.8,7
0.3,0.37,9,5
0.33,0.44,10.7,6
0.33,0.44,10.7,6
0.33,0.46,9.4,5
0.26,0.35,8.8,6
0.3,0.37,9,5
0.21,0.49,11.5,6
0.23,0.47,12.5,6
0.28,0.25,10.5,6
0.27,0.3,9.7,5
0.32,0.52,11.3,6
0.33,0.44,10.7,6
0.24,0.47,10.8,6
0.28,0.43,10.6,5
0.37,0.32,11.7,8
0.61,0.48,9.2,5
0.26,0.34,11.1,8
0.37,0.32,11.7,8
0.23,0.44,11,6
0.4,0.58,12.5,7
0.28,0.67,10,6
0.28,0.43,10.6,5
0.23,0.54,12.3,7
0.32,0.53,12.7,6
0.23,0.54,12.3,7
0.18,0.42,10.5,5
0.26,0.28,12.5,6
0.33,0.32,12.4,3
0.29,0.41,8.7,6
0.41,0.54,12.4,7
0.44,0.54,12.6,7
0.39,0.44,11,6
0.26,0.5,10.1,6
0.32,0.48,10.5,5
0.32,0.53,12.7,6
0.24,0.51,10.9,5
0.44,0.43,13.5,7
0.25,0.59,9.7,5
0.14,0.43,9.2,6
0.18,0.41,10.6,7
0.43,0.39,13.3,7
0.44,0.43,13.5,7
0.26,0.32,10.1,5
0.66,0.68,9.4,4
0.2,0.4,10.6,7
0.21,0.4,11.3,6
0.18,0.4,10.8,7
0.57,0.51,10.4,5
0.26,0.51,10.5,7
0.245,0.42,9.3,5
0.245,0.42,9.3,6
0.25,0.39,12.2,7
0.16,0.3,9.2,5
0.22,0.57,10.3,6
0.18,0.62,9.4,6
0.17,0.35,10.2,6
0.29,0.39,9,6
0.21,0.36,9.3,6
0.23,0.34,9.2,6
0.19,0.64,9.4,6
0.18,0.62,9.4,6
0.29,0.46,9.5,6
0.14,0.39,9.9,5
0.31,0.62,11.1,7
0.28,0.41,12.3,8
0.22,0.69,8.6,7
0.31,0.35,9.4,5
0.35,0.58,9.4,6
0.22,0.69,8.6,7
0.5,0.42,10.9,5
0.39,0.48,9.4,5
0.5,0.42,10.9,5
0.35,0.58,9.4,6
0.22,0.46,9.2,6
0.22,0.69,8.6,7
0.31,0.35,9.4,5
0.24,0.37,10.8,6
0.27,0.62,10.5,6
0.16,0.78,12.5,6
0.27,0.48,12.1,7
0.31,0.43,8.7,5
0.45,0.25,12.7,8
0.27,0.48,12.1,7
0.16,0.78,12.5,6
0.16,0.44,11.4,7
0.21,0.6,12.9,7
0.32,0.51,12.8,7
0.16,0.44,11.2,6
0.16,0.42,9.7,6
0.23,0.56,9.7,6
0.17,0.54,10.3,6
0.39,0.87,11.6,4
0.41,0.86,11.6,4
0.23,0.56,9.7,6
0.38,0.44,10.9,6
0.42,0.37,12.6,7
0.34,0.47,12.4,6
0.23,0.4,11.5,5
0.245,0.35,10.2,6
0.2,0.27,11.4,5
0.19,0.33,9.6,6
0.2,0.3,10.3,6
0.59,0.75,9.3,5
0.14,0.49,10.7,7
0.24,0.49,12.8,8
0.14,0.62,9.5,5
0.15,0.45,10.4,6
0.17,0.61,10.3,6
0.365,0.39,9.9,6
0.23,0.5,10.7,6
0.25,0.43,10.5,5
0.32,0.48,9.6,5
0.31,0.46,9.3,6
0.2,0.46,10,6
0.255,0.39,11.2,6
0.15,0.62,10.8,5
0.15,0.51,10.3,6
0.25,0.42,8.8,5
0.19,0.74,12.8,6
0.43,0.43,13.2,6
0.31,0.56,10.1,6
0.2,0.66,11,5
0.16,0.62,10.8,6
0.32,0.52,12.8,7
0.22,0.36,9.2,6
0.26,0.44,10.5,6
0.37,0.38,11.7,6
0.19,0.46,9.5,5
0.21,0.45,9.5,5
0.15,0.4,8.8,6
0.16,0.51,9.3,7
0.21,0.75,12.6,8
0.24,0.34,12.4,6
0.21,0.72,10.1,6
0.29,0.37,11.2,8
0.18,0.52,10,5
0.18,0.52,10,5
0.58,0.39,10.8,6
0.16,0.33,10,6
0.54,0.33,10.4,5
0.58,0.39,10.8,6
0.25,0.47,9.8,6
0.23,0.4,12.2,8
0.39,0.48,12.7,8
0.46,0.35,12.2,7
0.35,0.34,11.9,7
0.29,0.37,11.2,8
0.35,0.28,10.4,4
0.57,0.67,12.8,7
0.37,0.39,12.7,7
0.21,0.72,10.1,6
0.18,0.52,10,5
0.13,0.41,9,5
0.19,0.42,11.4,5
0.22,0.59,8.9,6
0.29,0.44,9.3,6
0.35,0.46,12,8
0.19,0.54,10.8,7
0.12,0.37,10.5,6
0.13,0.43,10.6,7
0.25,0.48,11.3,7
0.32,0.38,9.5,4
0.19,0.42,11.4,5
0.13,0.33,10.1,7
0.14,0.43,10.9,6
0.27,0.45,8.9,5
0.22,0.59,8.9,6
0.64,0.49,9.3,5
0.28,0.4,10.4,6
0.26,0.38,12,7
0.22,0.68,9.5,6
0.22,0.68,9.5,6
0.23,0.38,12.4,7
0.3,0.41,11.2,7
0.27,0.69,11.4,6
0.28,0.71,11.4,6
0.28,0.38,11.1,7
0.46,0.42,10.4,6
0.38,0.35,12,7
0.43,0.61,12.3,7
0.56,0.35,9.1,6
0.36,0.33,10.5,6
0.23,0.7,11.4,6
0.33,0.64,9.5,5
0.49,0.9,13.7,7
0.42,0.51,13.4,6
0.18,0.48,11.3,7
0.19,0.34,10,6
0.19,0.42,10.1,6
0.16,0.42,12.2,6
0.42,0.51,13.4,6
0.135,0.42,9.3,6
0.49,0.9,13.7,7
0.19,0.46,12.3,7
0.18,0.48,11.3,7
0.25,0.46,8.9,7
0.25,0.46,8.9,7
0.2,0.46,11.5,6
0.25,0.46,8.9,7
0.67,0.52,9.3,6
0.4,0.5,11.1,8
0.26,0.64,10.9,8
0.31,0.38,11.6,5
0.39,0.35,10.2,4
0.22,0.38,10.5,8
0.19,0.78,11.4,6
0.25,0.46,8.9,7
0.2,0.41,10.6,6
0.26,0.4,11.6,6
0.2,0.46,11.5,6
0.3,0.79,12.3,8
0.29,0.41,10.8,6
0.17,0.38,11.3,6
0.415,0.36,9.3,5
0.23,0.6,10,6
0.55,0.63,11,3
0.35,0.55,10.2,5
0.14,0.4,10.8,7
0.28,0.34,10.1,4
0.18,0.37,11.6,6
0.165,0.47,9.1,5
0.25,0.43,10,4
0.29,0.41,10.8,6
0.22,0.35,11.4,6
0.22,0.34,12.7,6
0.25,0.55,11.3,5
0.18,0.68,10.4,7
0.22,0.46,9.6,5
0.39,0.31,10.1,4
0.22,0.46,9.6,5
0.36,0.49,12.1,7
0.29,0.33,12.2,6
0.25,0.55,11.3,5
0.23,0.5,9.6,5
0.56,0.7,9.2,5
0.18,0.68,10.4,7
0.23,0.34,9.5,5
0.25,0.47,8.9,5
0.26,0.44,8.8,5
0.31,0.35,10.5,5
0.25,0.34,9.4,5
0.18,0.4,12.2,6
0.43,0.35,11.3,6
0.2,0.42,12.2,6
0.27,0.42,12.2,6
0.16,0.47,11.2,6
0.16,0.47,11.2,6
0.19,0.27,11.5,6
0.43,0.35,11.3,6
0.4,0.42,9.3,5
0.43,0.35,11.3,6
0.52,0.38,11.8,7
0.21,0.54,9.2,5
0.34,0.81,9.2,5
0.27,0.42,12.2,6
0.2,0.42,12.2,6
0.22,0.41,12.2,6
0.11,0.42,10.6,6
0.17,0.4,12.4,6
0.145,0.44,10.8,6
0.16,0.47,11.2,6
0.19,0.46,11,6
0.44,0.27,12.7,8
0.2,0.53,10.2,5
0.19,0.27,11.5,6
0.25,0.39,12.3,7
0.24,0.39,9.8,5
0.4,0.42,9.3,5
0.52,0.38,11.8,7
0.43,0.35,11.3,6
0.21,0.28,11.4,5
0.2,0.48,10.8,6
0.25,0.48,9.5,4
0.08,0.44,10.2,6
0.85,0.36,10.7,5
0.51,0.29,10.8,6
0.22,0.28,11.5,6
0.16,0.49,10.7,6
0.08,0.44,10.2,6
0.25,0.6,10.1,6
0.16,0.81,10.4,6
0.25,0.48,9.5,4
0.32,0.5,9.1,3
0.28,0.39,10.6,6
0.15,0.7,9.4,6
0.25,0.45,9.8,6
0.26,0.54,9.5,6
0.16,0.41,9.3,5
0.185,0.45,10.3,6
0.2,0.62,11.1,5
0.3,0.48,10,5
0.34,0.38,12.3,8
0.35,0.38,12.4,8
0.29,0.38,12.3,7
0.62,0.32,10.4,5
0.27,0.48,12.1,7
0.27,0.42,12.5,6
0.51,0.6,13,6
0.19,0.32,11,7
0.2,0.37,10.1,5
0.3,0.36,9.2,5
0.36,0.34,12.6,7
0.17,0.38,12.2,8
0.18,0.49,9.8,7
0.2,0.52,11,6
0.26,0.64,10,6
0.21,0.44,9.8,6
0.2,0.47,10.5,5
0.18,0.48,10,5
0.23,0.51,11.2,6
0.22,0.32,11,7
0.22,0.28,11.2,6
0.19,0.32,11,7
0.155,0.77,10.5,6
0.22,0.33,10.6,6
0.24,0.33,10.6,6
0.23,0.34,12,6
0.2,0.37,10.1,5
0.2,0.37,10.1,6
0.3,0.36,9.2,5
0.21,0.63,11,5
0.25,0.49,10,6
0.21,0.39,8.7,6
0.27,0.44,8.7,5
0.27,0.54,11.1,6
0.28,0.55,11,6
0.27,0.54,11.1,6
0.21,0.39,8.7,6
0.27,0.44,8.7,5
0.3,0.3,11.2,7
0.23,0.3,11.1,7
0.26,0.54,10.8,6
0.18,0.67,9,6
0.15,0.4,10.3,6
0.13,0.32,9.9,5
0.28,0.41,10,6
0.17,0.42,9.8,6
0.26,0.54,10.8,6
0.18,0.67,9,6
0.53,0.32,9.1,4
0.16,0.57,10.6,6
0.14,0.72,10.6,6
0.13,0.32,9.9,5
0.12,0.47,10.6,6
0.29,0.45,9.9,6
0.3,0.45,9.9,6
0.36,0.59,12.8,6
0.15,0.4,10.3,6
0.18,0.48,10.6,6
0.19,0.31,8.7,6
0.21,0.44,12.6,7
0.3,0.63,11,7
0.42,0.6,11.2,7
0.24,0.57,10.7,7
0.23,0.58,9.6,6
0.18,0.48,10.6,6
0.43,0.57,9,4
0.35,0.33,10.5,4
0.3,0.52,12.8,6
0.28,0.46,10.1,5
0.34,0.33,12.2,7
0.3,0.52,12.8,6
0.28,0.46,10.1,5
0.19,0.51,10.1,6
0.18,0.41,9.2,5
0.19,0.44,9.9,5
0.3,0.58,9.7,6
0.3,0.46,9.9,5
0.3,0.45,9.9,5
0.3,0.58,9.7,6
0.22,0.5,10.3,6
0.26,0.35,10.3,5
0.17,0.34,10.5,4
0.17,0.76,10.5,6
0.27,0.44,9.8,6
0.64,0.58,10.6,4
0.18,0.68,10.1,5
0.31,0.53,9,4
0.31,0.45,9.5,5
0.3,0.32,11.5,6
0.24,0.33,11.9,7
0.18,0.68,10.1,5
0.25,0.42,9.2,6
0.3,0.4,8.7,5
0.31,0.46,9.8,5
0.25,0.42,9.2,6
0.3,0.4,8.7,5
0.27,0.48,11.2,6
0.14,0.82,12.3,6
0.12,0.44,10.4,6
0.21,0.41,10.7,6
0.16,0.59,10.5,6
0.29,0.4,9.4,6
0.27,0.43,9.2,6
0.55,0.3,11.9,5
0.27,0.43,9.2,6
0.24,0.39,9.9,6
0.33,0.5,11.4,6
0.29,0.4,9.4,6
0.34,0.52,10.7,6
0.39,0.36,12.7,5
0.41,0.5,13.5,7
0.41,0.35,9.5,5
0.26,0.42,12.9,9
0.32,0.46,12.5,6
0.19,0.38,9.5,7
0.27,0.47,8.6,5
0.2,0.46,10,7
0.32,0.46,12.5,6
0.26,0.34,10.1,6
0.26,0.32,11.3,7
0.14,0.4,10.6,7
0.29,0.34,10.8,5
0.19,0.47,10.7,6
0.34,0.4,9,6
0.2,0.52,9.2,6
0.37,0.48,8.5,6
0.22,0.36,11.3,8
0.26,0.32,11.3,7
0.32,0.34,9.4,5
0.44,0.37,8.7,6
0.14,0.36,9.4,6
0.17,0.51,10.5,7
0.26,0.53,9.7,6
0.22,0.44,10.2,6
0.32,0.34,9.4,5
0.2,0.35,11.5,6
0.15,0.31,9.6,6
0.25,0.7,11.4,5
0.2,0.35,11.5,6
0.28,0.58,12.2,8
0.19,0.38,11,7
0.25,0.52,9.2,6
0.14,0.45,10.2,6
0.49,0.33,10,5
0.12,0.48,9.7,6
0.47,0.51,9.2,5
0.22,0.39,10.5,5
0.49,0.33,10,5
0.22,0.52,10.1,6
0.19,0.36,9.1,7
0.3,0.57,10.2,7
0.19,0.36,9.1,7
0.24,0.59,10.5,7
0.22,0.52,10.1,6
0.21,0.28,12.1,7
0.3,0.59,10.2,5
0.26,0.52,9.4,4
0.31,0.67,12.8,7
0.42,0.58,9,6
0.29,0.36,10.9,4
0.33,0.38,8.8,6
0.46,0.38,9,5
0.28,0.59,10.2,5
0.15,0.48,9.2,5
0.4,0.58,11.3,6
0.31,0.45,8.8,5
0.325,0.4,9.3,5
0.27,0.45,9.4,6
0.26,0.4,10.3,6
0.21,0.42,10.8,7
0.33,0.38,8.8,6
0.28,0.58,9,4
0.13,0.51,11.5,8
0.445,0.43,10.8,5
0.39,0.51,11.8,6
0.18,0.38,10.5,7
0.31,0.44,9.9,6
0.24,0.56,9.8,6
0.35,0.42,11.4,7
0.26,0.38,9.3,5
0.27,0.38,9.3,5
0.22,0.44,10.3,6
0.27,0.47,8.9,5
0.35,0.42,11.4,7
0.23,0.35,11.1,6
0.3,0.45,10.4,6
0.35,0.43,10.1,5
0.32,0.55,9,5
0.31,0.55,11.9,6
0.25,0.38,9,7
0.25,0.38,9,7
0.26,0.44,9.1,7
0.25,0.38,9,7
0.26,0.72,10,5
0.26,0.44,9.1,7
0.25,0.63,9.4,3
0.16,0.55,11.4,6
0.43,0.45,9.7,4
0.25,0.38,9,7
0.24,0.49,11.8,6
0.265,0.41,10.2,5
0.12,0.42,9.2,6
0.21,0.4,11,6
0.32,0.31,10,6
0.18,0.37,12.2,6
0.24,0.49,11.8,6
0.26,0.43,11.6,6
0.26,0.61,10.2,6
0.29,0.46,10.3,5
0.27,0.35,8.6,4
0.33,0.44,9.6,5
0.31,0.45,9.6,5
0.25,0.47,11.3,6
0.24,0.55,9.9,6
0.26,0.4,9.6,5
0.61,0.6,10.6,4
0.22,0.39,9.8,5
0.31,0.47,10.5,5
0.2,0.51,10.8,5
0.18,0.51,10,6
0.34,0.49,10.1,6
0.3,0.48,9.4,5
0.18,0.59,11.5,8
0.21,0.5,10.8,6
0.27,0.43,9.9,6
0.2,0.43,9,4
0.23,0.31,9.4,6
0.2,0.44,10.8,7
0.15,0.45,10.9,7
0.4,0.38,12,6
0.18,0.59,11.5,8
0.13,0.42,10.5,6
0.17,0.37,9.3,6
0.3,0.44,11.8,6
0.445,0.36,10,6
0.3,0.48,9.4,5
0.22,0.68,11.4,6
0.23,0.3,10.4,6
0.34,0.37,9.5,6
0.545,0.32,11.9,5
0.3,0.45,11.1,6
0.16,0.38,9.6,6
0.32,0.47,12,6
0.22,0.42,8.7,5
0.16,0.38,9.6,6
0.15,0.44,10,5
0.29,0.32,11.4,4
0.37,0.45,9.6,6
0.38,0.32,12.9,6
0.25,0.35,9.7,6
0.3,0.51,9.3,6
0.22,0.3,9.1,5
0.34,0.48,8.6,5
0.22,0.42,9.9,5
0.3,0.51,9.3,6
0.27,0.42,10.9,5
0.17,0.43,10.2,6
0.18,0.57,9.7,6
0.16,0.51,11.4,7
0.255,0.54,9.5,6
0.23,0.54,10.2,7
0.16,0.43,11.1,6
0.25,0.35,9.7,6
0.27,0.43,9.3,5
0.29,0.44,8.8,5
0.21,0.46,10.6,5
0.62,0.44,9.3,5
0.28,0.35,10.2,6
0.3,0.51,10.2,6
0.17,0.42,11,7
0.21,0.5,9.6,6
0.27,0.43,9.3,5
0.29,0.44,8.8,5
0.32,0.45,8.8,5
0.32,0.69,8.9,5
0.37,0.38,10,5
0.43,0.56,12.2,7
0.39,0.42,10.9,6
0.18,0.72,9.5,6
0.4,0.43,10.9,6
0.39,0.42,10.9,6
0.19,0.4,10.8,6
0.49,0.4,12,6
0.25,0.47,9.8,5
0.18,0.72,9.5,6
0.15,0.69,11,8
0.15,0.69,11,8
0.17,0.38,9.8,5
0.32,0.44,10.5,4
0.21,0.37,11.4,6
0.45,0.57,10.1,6
0.24,0.46,11.6,7
0.21,0.37,11.4,6
0.33,0.52,11.8,7
0.26,0.43,12.1,7
0.36,0.34,12,5
0.2,0.74,12.1,7
0.16,0.46,9.1,5
0.33,0.5,9.3,5
0.22,0.53,10.4,6
0.35,0.64,9.1,5
0.37,0.54,9.4,5
0.37,0.47,9.6,6
0.37,0.62,12,5
0.25,0.34,11.3,8
0.23,0.41,8.7,6
0.26,0.58,9.9,6
0.3,0.4,9.3,6
0.16,0.32,9.5,5
0.23,0.41,8.7,6
0.26,0.58,9.9,6
0.3,0.4,9.3,6
0.33,0.39,9.4,5
0.38,0.41,9.4,5
0.2,0.79,8.8,6
0.33,0.39,9.4,5
0.2,0.79,8.8,6
0.36,0.41,9.9,6
0.38,0.41,9.4,5
0.46,0.37,12.6,6
0.15,0.43,11.1,6
0.42,0.32,12.8,7
0.3,0.53,12,6
0.27,0.5,12,7
0.5,0.34,9.2,4
0.26,0.44,12.3,6
0.33,0.41,13,6
0.3,0.53,12,6
0.29,0.38,10.9,5
0.42,0.32,12.8,7
0.19,0.54,10,6
0.32,0.32,9,5
0.32,0.6,10.4,5
0.32,0.32,9,5
0.19,0.54,10,6
0.17,0.54,10,6
0.44,0.43,11.3,7
0.44,0.43,11.3,7
0.49,0.51,12,7
0.44,0.43,11.3,7
0.49,0.51,12,7
0.21,0.41,10.6,6
0.55,0.56,9.3,5
0.19,0.54,9.4,6
0.24,0.64,11,7
0.34,0.55,9.3,6
0.19,0.54,9.4,6
0.18,0.51,10.5,5
0.24,0.64,11,7
0.18,0.52,9.5,6
0.28,0.77,11.2,6
0.34,0.62,12.3,6
0.44,0.44,9,5
0.26,0.38,9,5
0.44,0.44,9,5
0.49,0.82,9,5
0.24,0.42,11.4,6
0.25,0.42,11,7
0.34,0.62,12.3,6
0.18,0.67,10.4,7
0.27,0.59,10.3,5
0.24,0.55,10.5,7
0.22,0.45,9.8,6
0.91,0.46,10,4
0.34,0.47,9.7,5
0.33,0.47,9.7,5
0.22,0.45,9.8,6
0.18,0.66,10.5,6
0.2,0.46,10,6
0.13,0.92,11.5,7
0.28,0.39,9.5,5
0.25,0.61,10.5,6
0.36,0.43,10.2,6
0.27,0.5,9.8,6
0.37,0.37,11.6,6
0.21,0.38,11.8,7
0.18,0.37,10.1,7
0.19,0.5,10.3,6
0.21,0.49,10.4,6
0.33,0.46,8.9,5
0.33,0.46,8.9,5
0.29,0.31,10.8,5
0.31,0.6,9.2,5
0.19,0.49,9.6,6
0.2,0.37,10.4,6
0.25,0.57,8.7,6
0.2,0.36,9.2,6
0.3,0.63,9.2,5
0.2,0.36,9.2,6
0.3,0.63,9.2,5
0.3,0.63,9.2,5
0.22,0.39,10.2,5
0.2,0.36,9.2,6
0.53,0.32,9,5
0.24,0.43,9.7,5
0.24,0.42,9.6,5
0.15,0.76,10,5
0.3,0.63,9.2,5
0.33,0.64,9.1,5
0.24,0.41,8.7,5
0.24,0.41,8.7,5
0.35,0.44,9.5,5
0.26,0.49,9.5,6
0.29,0.41,8.9,6
0.29,0.41,8.9,6
0.31,0.64,9.9,6
0.44,0.62,12.6,7
0.23,0.43,9.7,6
0.21,0.34,10.4,5
0.23,0.49,9.1,6
0.34,0.55,10.4,5
0.26,0.49,9.5,6
0.29,0.41,8.9,6
0.28,0.69,10.6,5
0.37,0.59,12,7
0.36,0.59,12.5,7
0.13,0.39,9.6,5
0.25,0.42,9.2,5
0.18,0.74,9.9,6
0.3,0.46,11.7,6
0.23,0.5,9.6,6
0.43,0.37,12,6
0.36,0.59,12.5,7
0.25,0.42,9.2,5
0.18,0.74,9.9,6
0.35,0.58,8.9,6
0.22,0.66,9,6
0.26,0.49,10.2,7
0.13,0.39,9.6,5
0.12,0.41,9.4,5
0.37,0.48,10.4,5
0.26,0.4,10.4,4
0.2,0.43,10,6
0.22,0.43,10,6
0.25,0.41,10.5,5
0.27,0.39,11.4,6
0.34,0.4,10.2,5
0.27,0.41,10.4,6
0.49,0.37,11,3
0.71,0.34,10.1,6
0.47,0.35,9.2,5
0.28,0.66,10.3,6
0.34,0.4,10.2,5
0.27,0.41,10.4,6
0.13,0.39,11.1,7
0.16,0.34,9.9,5
0.31,0.38,9,5
0.36,0.64,8.6,5
0.31,0.38,9,5
0.36,0.64,8.6,5
0.25,0.52,9.5,5
0.45,0.4,9,5
0.26,0.58,10,6
0.22,0.43,9,6
0.45,0.4,9,5
0.19,0.57,10.2,7
0.31,0.44,9.6,5
0.25,0.46,9.7,5
1.005,0.49,10.2,4
0.31,0.34,13,7
0.24,0.74,10.8,6
0.25,0.46,9.7,5
0.29,0.57,9,5
0.15,0.4,9.9,5
0.12,0.38,9.2,6
0.32,0.58,8.7,6
0.17,0.37,10.1,5
0.17,0.37,10.1,5
0.21,0.64,9.5,5
0.21,0.57,9.9,5
0.32,0.58,8.7,6
0.31,0.46,9,5
0.27,0.38,8.6,6
0.21,0.35,10.5,6
0.23,0.56,9.5,7
0.2,0.53,10.1,6
0.41,0.79,11.7,7
0.49,0.47,10.7,6
0.41,0.79,11.7,7
0.2,0.42,9.2,5
0.26,0.39,8.8,5
0.26,0.39,8.8,5
0.27,0.43,9.5,6
0.28,0.55,10.2,5
0.2,0.5,9.1,6
0.33,0.54,10.5,6
0.38,0.46,9,6
0.2,0.46,8.9,8
0.2,0.46,8.9,8
0.2,0.46,8.9,8
0.2,0.46,8.9,8
0.2,0.46,8.9,8
0.19,0.62,9.1,6
0.16,0.53,10.1,6
0.22,0.55,10,5
0.22,0.53,9.5,6
0.33,0.31,12.3,7
0.43,0.52,9.1,4
0.2,0.46,8.9,8
0.12,0.44,9.6,5
0.3,0.45,11.6,6
0.28,0.67,8.8,6
0.2,0.82,8.9,6
0.28,0.67,8.8,6
0.2,0.82,8.9,6
0.2,0.82,8.9,6
0.18,0.46,9,6
0.31,0.46,10,5
0.31,0.46,10,5
0.17,0.69,11.1,6
0.3,0.45,11.6,6
0.26,0.68,10.6,6
0.28,0.67,8.8,6
0.2,0.82,8.9,6
0.18,0.58,10.1,6
0.15,0.47,10,5
0.4,0.41,12.2,7
0.25,0.53,11,6
0.15,0.47,10,5
0.18,0.45,11.1,5
0.32,0.67,10.4,6
0.55,0.36,11.8,5
0.19,0.66,10.8,6
0.41,0.38,12.5,7
0.55,0.36,11.8,5
0.2,0.46,11.6,7
0.32,0.67,10.4,6
0.26,0.7,11.5,6
0.21,0.42,10.1,6
0.34,0.53,9.2,6
0.21,0.42,10.1,6
0.43,0.64,9.2,5
0.3,0.42,8.9,5
0.26,0.54,10.1,5
0.32,0.45,8.9,5
0.21,0.45,9.7,6
0.34,0.53,9.2,6
0.42,0.52,11,6
0.29,0.47,10.7,5
0.25,0.54,10.8,6
0.23,0.4,9.8,5
0.35,0.48,11,5
